sigma_theta,SURE_pi_B100_MSE,SURE_pi_B500_MSE
0.1,0.05780009678120397,0.010605315207631014
1.0,0.486740235198886,0.5112769411345471
5.0,1.0461059961950108,1.063043769793243
0.1,0.027012233025546964,0.009749545469341512
1.0,0.5310394680074899,0.5115459219738313
5.0,0.9048532981027795,1.0317363663172319
0.1,0.013515194383601593,0.05219323449148864
1.0,0.5089787637973885,0.5122529834270337
5.0,1.0255904447609119,1.0034015604894968
0.1,0.010170415822180891,0.03807201563643422
1.0,0.5012261900766738,0.5366863237779299
5.0,1.0183247738597736,0.9725685732596905
0.1,0.015748806647180643,0.019364915163052582
1.0,0.5075291444785811,0.50432738126136
5.0,1.060728395987653,0.9610230561962656
0.1,0.02584902180897308,0.021623488640204434
1.0,0.526779840428685,0.5027493138688476
5.0,0.959160340715649,1.0127078393842859
0.1,0.023024952339044884,0.009892144723122517
1.0,0.47288774743098905,0.524843810364982
5.0,1.019613105631405,1.0066781495044517
0.1,0.026866145595111766,0.014069050743286269
1.0,0.4992036557373239,0.5308689146870194
5.0,0.9952506069085706,0.9904874714990539
0.1,0.05641274807168826,0.010107357418231521
1.0,0.5048284856780352,0.5116840780147109
5.0,1.026323851273399,0.9748718738817904
0.1,0.015511117268696945,0.04397746831441512
1.0,0.47780455779935516,0.4546867472091252
5.0,0.998688642217547,1.0101319483185576
0.1,0.01663377948735962,0.01198795110127647
1.0,0.5139686023329538,0.5361858836806878
5.0,1.0262798855840067,0.9506520914479536
0.1,0.03367402819857458,0.06601277220041336
1.0,0.512454818460887,0.5231878953808046
5.0,0.9492751302633392,1.0016687944355092
0.1,0.03239749120664442,0.02278715290978159
1.0,0.5365099152013185,0.5455507883580446
5.0,0.9972893425932524,0.9610735405762774
0.1,0.013005555270806988,0.010573880198075125
1.0,0.4832555070372901,0.4996642431071801
5.0,1.0418047196987559,0.9981868282034084
0.1,0.01021944695369102,0.031417822005675645
1.0,0.5334860623981803,0.5046139006187255
5.0,1.0565800403970498,0.9541952629078854
0.1,0.009529488192630046,0.011620315156383643
1.0,0.48169298822119805,0.5269488719102315
5.0,0.9996608025432857,1.0192121709120405
0.1,0.015381560850609136,0.021757423081357957
1.0,0.48392667645953186,0.5480402789155987
5.0,1.0286307745367531,1.1216902535830495
0.1,0.019771176973669674,0.025969387806514723
1.0,0.4970079127955784,0.5067192076426699
5.0,0.9838276447003663,1.025006771719148
0.1,0.026190970014698757,0.013038141152694896
1.0,0.5158673773358801,0.48194846005473135
5.0,0.9690324350858439,1.056335816357684
0.1,0.009627850559991212,0.01039701652533785
1.0,0.5112851061792981,0.5346253875475201
5.0,1.0709977968154711,0.9531283225865789
0.1,0.023422293997310654,0.017423344282940643
1.0,0.5313252476826819,0.48494389917865244
5.0,0.9440518371414085,1.0087327335584944
0.1,0.0104811048976515,0.021911676105490795
1.0,0.5359173218891709,0.5366101266507898
5.0,1.0376449982775289,1.0228354345410713
0.1,0.01157762002070379,0.04651927698504428
1.0,0.48615993290157716,0.5158276846083633
5.0,1.0295239588451677,1.002836159087675
0.1,0.016287676179846305,0.05081090761956844
1.0,0.5189168271491823,0.5148720672306866
5.0,1.0329696643458433,1.0408476373231081
0.1,0.011949249288845325,0.010081315717436711
1.0,0.5308112471140638,0.5073854587332137
5.0,1.0032239372230476,1.05219158587062
0.1,0.029802129104846375,0.047219934943432816
1.0,0.4649715032664261,0.5474202093595233
5.0,0.9970707996296557,1.038261458187907
0.1,0.014010378297997507,0.029137810767150878
1.0,0.5037595112489983,0.48732742013805447
5.0,1.011437254968915,0.9326903938574314
0.1,0.012040803379758902,0.009072467397675848
1.0,0.5218666247961481,0.5045847822440883
5.0,1.075706186089046,1.00904197184523
0.1,0.01902583122221068,0.020144843095789115
1.0,0.4975917848402942,0.5140828806206774
5.0,1.0339905550175479,0.9363783665586624
0.1,0.018497149112167842,0.062985445755926
1.0,0.4933004396361114,0.5196126233036245
5.0,1.0687363911727732,1.1417075543370925
0.1,0.020554943749212833,0.01928225608739018
1.0,0.502511079502298,0.4894697693103962
5.0,0.9390679004229499,0.9651166509088995
0.1,0.019220948094363203,0.018239480564384982
1.0,0.4781070402606538,0.5237716144752141
5.0,1.0218648356706197,0.998826565549896
0.1,0.012525603624030813,0.00951797016206211
1.0,0.4921209865386766,0.5023489409248262
5.0,1.028995651091727,0.9994258674987985
0.1,0.01180413520606667,0.015108467462893026
1.0,0.4788306791918525,0.5257206026253364
5.0,1.066068654833312,0.9362369608253167
0.1,0.04527423945085795,0.015869354670745815
1.0,0.5133499107384397,0.4951953489621184
5.0,1.0787367056514046,0.991602474186662
0.1,0.010252889008918175,0.0250442174874455
1.0,0.5121069465634632,0.4638969260514631
5.0,1.0535391372388805,0.9967988248181334
0.1,0.010779515005033217,0.020972794397452303
1.0,0.531601916826057,0.5447783381444476
5.0,1.0117084327961539,1.0586846297411496
0.1,0.03405797685105737,0.011786802889665746
1.0,0.5088873158573605,0.49184431882956714
5.0,1.0225337432215982,1.0066164589663986
0.1,0.01644331510191069,0.01454962450602988
1.0,0.49559519930731166,0.5062963488686608
5.0,0.9668899375920653,0.975940196039818
0.1,0.011179354923898831,0.04800152818249005
1.0,0.48771390291891553,0.5330789817116094
5.0,0.9889082188147038,0.951314337250235
0.1,0.0411912463164431,0.02087368990405061
1.0,0.4827080203410376,0.5001095074223081
5.0,1.079250305852251,1.070162445879922
0.1,0.012873863624622043,0.06226205647705641
1.0,0.5045052996931384,0.49804916249569786
5.0,0.9819824243824102,0.9731975259211805
0.1,0.023720861639562316,0.010415355047194612
1.0,0.5179866216212676,0.47697444903725283
5.0,1.0147841238144104,0.8953798768397611
0.1,0.014893112540876422,0.025663637881398246
1.0,0.5841132435196428,0.5503388644128183
5.0,0.9311524861380941,1.0334623753979877
0.1,0.016386880203473442,0.011421795135332006
1.0,0.45959749278790124,0.5364775632454111
5.0,1.0478106619431895,1.0115247572142854
0.1,0.00944540397772272,0.06988684884764831
1.0,0.5053101339848395,0.5210738236475038
5.0,1.006275189843643,1.0427285196542087
0.1,0.010983042130097367,0.029898504105290116
1.0,0.48202183635136636,0.4951826808571052
5.0,0.9683984513004774,0.980603001977062
0.1,0.01159307261020072,0.01779790635615716
1.0,0.5415082469069493,0.5333797618403225
5.0,0.9761172527242432,1.078324901020722
0.1,0.019455132786940034,0.014252776931856805
1.0,0.5431122207952326,0.5656295908474567
5.0,0.9776112131702284,1.0049838326587361
0.1,0.01208384663189019,0.041006708678353154
1.0,0.5055311015566685,0.5112583981393306
5.0,1.0343056885666448,1.0047471629467535
